LotArea,Neighborhood,BldgType,OverallQual,OverallCond,YearBuilt,YearRemodAdd,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF,BsmtFinType2,BsmtUnfSF,TotalBsmtSF,heatingQ,CentralAir,1stFlrSF,2ndFlrSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,MoSold,YrSold,SaleType,SaleCondition,SalePrice
7879,IDOTRR,1Fam,4,5,1920,1950,TA,TA,CBlock,TA,TA,No,Rec,495,Unf,225,720,TA,N,720,0,0,0,1,0,2,TA,4,0,0,0,11,2009,WD,Abnorml,34900
9000,IDOTRR,1Fam,2,3,1949,1950,TA,TA,CBlock,TA,TA,Av,BLQ,50,Unf,430,480,TA,N,480,0,1,0,0,0,1,TA,4,0,1,308,10,2006,WD,Abnorml,35311
5925,OldTown,1Fam,3,6,1910,1950,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,600,600,Fa,N,600,368,0,0,1,0,2,TA,6,0,0,0,5,2009,WD,Abnorml,37900
5000,BrkSide,1Fam,1,3,1946,1950,Fa,Fa,Slab,NA,NA,NA,NA,0,NA,0,0,Fa,N,334,0,0,0,1,0,1,Fa,2,0,0,0,1,2007,WD,Normal,39300
8500,IDOTRR,1Fam,4,4,1920,1950,TA,Fa,BrkTil,TA,TA,No,Unf,0,Unf,649,649,TA,N,649,668,0,0,1,0,3,TA,6,0,1,250,7,2008,WD,Normal,40000
4130,BrkSide,1Fam,3,6,1935,2003,Gd,TA,CBlock,TA,TA,No,Unf,0,Unf,270,270,Gd,Y,729,0,0,0,1,0,2,TA,5,0,0,0,7,2008,WD,Normal,52000
4118,OldTown,1Fam,4,4,1941,1950,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,693,693,Fa,N,693,0,0,0,1,0,2,Fa,4,0,0,0,3,2006,WD,Normal,52500
5600,IDOTRR,2fmCon,4,5,1930,1950,Fa,Fa,Slab,NA,NA,NA,NA,0,NA,0,0,Fa,N,372,720,0,0,2,0,3,Fa,7,0,0,0,7,2010,WD,Normal,55000
3636,IDOTRR,1Fam,4,4,1922,1950,TA,TA,BrkTil,TA,Fa,No,Unf,0,Unf,796,796,Fa,N,796,0,0,0,1,0,2,TA,5,0,0,0,1,2008,WD,Normal,55000
8712,IDOTRR,1Fam,5,5,1952,1952,Fa,TA,CBlock,TA,TA,Av,Unf,0,Unf,540,540,TA,N,1044,0,0,0,1,0,2,Fa,4,0,2,504,6,2010,WD,Alloca,55993
8212,Edwards,1Fam,3,3,1914,1950,TA,Fa,BrkTil,TA,Fa,No,Rec,203,Unf,661,864,TA,N,864,0,1,0,1,0,2,TA,5,0,1,200,6,2010,WD,Normal,58500
9571,Edwards,1Fam,5,3,1958,1958,TA,Fa,CBlock,TA,Fa,No,Unf,0,Unf,1276,1276,TA,Y,1276,0,0,0,1,0,3,TA,5,0,1,350,6,2009,COD,Abnorml,60000
8400,SWISU,1Fam,2,5,1920,1950,TA,TA,CBlock,TA,Fa,No,Rec,290,Unf,0,290,TA,N,438,0,0,0,1,0,1,Fa,3,0,1,246,1,2009,WD,Normal,60000
6120,BrkSide,1Fam,2,3,1936,1950,Fa,Fa,BrkTil,TA,Fa,No,Unf,0,Unf,264,264,Fa,N,800,0,0,0,1,0,1,Fa,4,1,0,0,1,2009,ConLw,Normal,60000
10020,Edwards,1Fam,1,1,1922,1950,Fa,Fa,BrkTil,Fa,Po,Gd,BLQ,350,Unf,333,683,Gd,N,904,0,1,0,0,1,1,Fa,4,0,0,0,3,2009,WD,Normal,61000
8281,Sawyer,1Fam,5,5,1965,1965,TA,TA,CBlock,TA,TA,No,Rec,864,BLQ,0,864,Gd,Y,864,0,0,0,1,0,3,TA,5,1,1,360,12,2009,WD,Normal,62383
10800,OldTown,1Fam,4,6,1927,2007,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,656,656,TA,Y,968,0,0,0,2,0,4,TA,5,0,1,216,8,2007,WD,Normal,64500
5720,OldTown,1Fam,5,6,1941,1950,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,676,676,Ex,Y,676,455,0,0,1,1,3,TA,5,0,1,200,8,2009,WD,Abnorml,66500
8967,IDOTRR,1Fam,5,2,1920,1950,TA,Fa,BrkTil,Fa,Po,No,Unf,0,Unf,961,961,Gd,Y,1077,0,0,0,1,0,2,TA,6,0,1,338,11,2007,WD,Abnorml,67000
8248,Edwards,1Fam,3,3,1914,1950,TA,TA,BrkTil,TA,TA,No,BLQ,41,Unf,823,864,TA,N,864,0,1,0,1,0,2,TA,5,0,0,0,9,2008,WD,Normal,67000
7500,IDOTRR,1Fam,4,4,1920,1950,TA,Gd,CBlock,TA,TA,No,Unf,0,Unf,698,698,TA,Y,698,430,0,0,1,0,2,TA,6,0,2,528,4,2010,COD,Abnorml,68400
6324,BrkSide,1Fam,4,6,1927,1950,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,520,520,Fa,N,520,0,0,0,1,0,1,Fa,4,0,1,240,5,2008,WD,Normal,68500
6627,BrkSide,1Fam,3,6,1949,1950,TA,TA,CBlock,NA,NA,NA,NA,0,NA,0,0,TA,N,720,0,0,0,1,0,2,TA,4,0,1,287,7,2008,WD,Normal,72500
5232,OldTown,1Fam,5,5,1925,2004,TA,TA,BrkTil,Fa,TA,No,Unf,0,Unf,680,680,Gd,N,764,0,0,0,1,0,2,TA,4,0,2,504,6,2008,WD,Normal,73000
2001,MeadowV,Twnhs,4,5,1970,1970,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,546,546,Fa,Y,546,546,0,0,1,1,3,TA,6,0,1,286,1,2007,WD,Normal,75000
1491,MeadowV,TwnhsE,4,6,1972,1972,TA,TA,CBlock,Gd,TA,Av,LwQ,630,GLQ,0,630,Ex,Y,630,0,1,0,1,0,1,TA,3,0,0,0,5,2010,WD,Normal,75500
9000,SawyerW,1Fam,6,3,1928,1950,TA,TA,BrkTil,Fa,Fa,No,Unf,0,Unf,784,784,TA,N,784,0,0,0,1,0,2,TA,5,0,2,360,10,2009,WD,Normal,76000
5350,BrkSide,1Fam,3,2,1940,1966,TA,Po,CBlock,TA,TA,No,Unf,0,Unf,728,728,Ex,Y,1306,0,0,0,1,0,3,Fa,6,0,0,0,5,2010,WD,Normal,76500
6402,IDOTRR,1Fam,5,5,1920,1950,TA,TA,PConc,TA,TA,Mn,Unf,0,Unf,596,596,TA,N,596,596,0,0,1,0,3,TA,6,0,1,189,7,2009,WD,Normal,78000
4270,Edwards,1Fam,3,6,1931,2006,TA,TA,BrkTil,TA,TA,No,Rec,544,Unf,0,544,Ex,Y,774,0,0,0,1,0,3,Gd,6,0,0,0,5,2007,WD,Normal,79000
5000,OldTown,1Fam,5,4,1900,1950,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,540,540,Gd,N,889,551,0,0,1,0,3,TA,6,0,1,352,4,2006,WD,Normal,79000
9600,Edwards,1Fam,6,5,1924,1950,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,572,572,Fa,N,572,524,0,0,1,0,2,TA,5,0,0,0,4,2008,WD,Normal,79000
9100,BrkSide,1Fam,5,6,1930,1960,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,742,742,TA,Y,779,0,0,0,1,0,2,TA,4,0,1,308,8,2008,WD,Normal,79500
5586,OldTown,1Fam,6,7,1920,1998,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,901,901,Gd,Y,1088,110,0,0,1,0,4,TA,7,0,0,0,9,2008,ConLD,Abnorml,79900
5825,BrkSide,1Fam,4,5,1926,1953,TA,Gd,PConc,Fa,TA,Mn,Unf,0,Unf,600,600,Gd,Y,747,0,0,0,1,0,1,TA,5,0,2,528,6,2006,WD,Normal,79900
9000,Sawyer,1Fam,5,3,1959,1959,TA,TA,CBlock,TA,TA,No,GLQ,288,Unf,718,1006,TA,Y,1006,0,0,0,1,0,3,TA,5,0,0,0,7,2008,WD,Normal,80000
12180,Edwards,2fmCon,4,4,1941,1950,TA,Fa,BrkTil,Gd,TA,No,BLQ,348,Unf,324,672,Fa,N,672,252,1,0,1,0,2,Fa,5,0,1,280,7,2010,WD,Normal,80000
4608,OldTown,1Fam,4,6,1945,1950,TA,Gd,CBlock,TA,TA,No,Unf,0,Unf,747,747,TA,Y,747,0,0,0,1,0,2,TA,4,0,1,220,6,2010,WD,Normal,80000
1477,MeadowV,TwnhsE,4,4,1970,1970,TA,TA,CBlock,Gd,TA,Av,GLQ,509,Unf,121,630,TA,Y,630,0,1,0,1,0,1,TA,3,0,1,286,4,2009,WD,Normal,80000
6240,BrkSide,1Fam,4,5,1947,1950,TA,TA,Slab,NA,NA,NA,NA,0,NA,0,0,Gd,N,672,240,0,0,1,0,2,TA,3,0,0,0,7,2006,WD,Normal,80500
18000,IDOTRR,1Fam,3,4,1935,1950,Fa,TA,CBlock,TA,TA,No,Unf,0,Unf,894,894,TA,Y,894,0,0,0,1,0,2,TA,6,0,3,1248,8,2008,ConLD,Normal,81000
8410,Edwards,1Fam,5,3,1910,1996,TA,Fa,PConc,TA,TA,No,Unf,0,Unf,658,658,TA,Y,658,526,0,0,1,0,5,TA,8,0,0,0,5,2006,WD,AdjLand,81000
1890,MeadowV,Twnhs,4,7,1972,1972,TA,Gd,CBlock,Gd,TA,Av,ALQ,495,Unf,135,630,Gd,Y,630,0,1,0,1,0,1,TA,3,0,0,0,6,2008,WD,Normal,81000
10206,Edwards,1Fam,3,3,1952,1952,TA,TA,Slab,NA,NA,NA,NA,0,NA,0,0,Fa,N,944,0,0,0,1,0,2,Fa,4,0,2,528,7,2009,WD,Normal,82000
6040,Edwards,Duplex,4,5,1955,1955,TA,TA,PConc,NA,NA,NA,NA,0,NA,0,0,TA,N,1152,0,0,0,2,0,2,Fa,6,0,0,0,6,2008,WD,AdjLand,82000
8400,SawyerW,1Fam,4,4,1950,1950,Fa,Fa,CBlock,TA,Fa,No,Unf,0,Unf,721,721,Gd,Y,841,0,0,0,1,0,2,TA,4,0,1,294,9,2009,WD,Normal,82000
12342,Edwards,1Fam,4,5,1940,1950,TA,TA,CBlock,TA,TA,No,BLQ,262,Unf,599,861,Ex,Y,861,0,0,0,1,0,1,TA,4,0,2,539,3,2009,WD,Normal,82500
11900,NWAmes,1Fam,7,5,1977,1977,TA,Gd,CBlock,TA,TA,No,ALQ,822,Unf,564,1386,TA,Y,1411,0,0,0,2,0,3,TA,6,1,2,544,4,2009,WD,Family,82500
5330,BrkSide,1Fam,4,7,1940,1950,Fa,TA,CBlock,TA,TA,No,LwQ,280,Unf,140,420,Gd,Y,708,0,0,0,1,0,2,Fa,5,0,0,0,12,2009,WD,Normal,82500
10625,Edwards,1Fam,5,5,1920,1950,TA,TA,BrkTil,TA,TA,No,ALQ,108,Unf,350,458,Fa,N,835,0,0,0,1,0,2,TA,5,0,1,366,5,2010,COD,Abnorml,83000
1953,BrDale,Twnhs,6,5,1973,1973,TA,TA,CBlock,TA,Fa,No,BLQ,309,Unf,174,483,TA,Y,483,504,0,0,1,1,2,TA,5,0,1,264,6,2006,WD,Normal,83000
1974,MeadowV,TwnhsE,4,5,1973,1973,TA,TA,CBlock,TA,TA,No,BLQ,334,Unf,212,546,TA,Y,546,546,0,0,1,1,3,TA,6,0,1,286,5,2010,WD,Normal,83500
11500,Edwards,1Fam,4,3,1957,1957,TA,Gd,Slab,NA,NA,NA,NA,0,NA,0,0,Ex,N,845,0,0,0,1,0,3,TA,5,0,1,290,1,2009,WD,Normal,84000
17217,Mitchel,1Fam,5,5,2006,2006,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,1140,1140,Ex,Y,1140,0,0,0,1,0,3,TA,6,0,0,0,7,2006,WD,Abnorml,84500
6780,IDOTRR,2fmCon,6,8,1935,1982,TA,Fa,CBlock,TA,TA,Av,GLQ,490,Unf,30,520,Gd,N,520,0,1,0,1,0,2,TA,5,0,0,0,6,2006,WD,Normal,84500
1936,MeadowV,Twnhs,4,6,1970,1970,TA,TA,CBlock,Gd,TA,Av,BLQ,630,GLQ,0,630,Gd,Y,630,0,1,0,1,0,1,TA,3,0,0,0,12,2007,WD,Normal,84500
11100,Edwards,1Fam,4,7,1946,2006,TA,TA,CBlock,NA,NA,NA,NA,0,NA,0,0,Ex,Y,930,0,0,0,1,0,2,Gd,6,0,1,308,4,2010,WD,Abnorml,84900
8470,IDOTRR,1Fam,3,2,1915,1982,Fa,Fa,CBlock,TA,Fa,No,Unf,0,Unf,1013,1013,TA,N,1013,0,0,0,1,0,2,Fa,6,0,0,0,10,2009,ConLD,Abnorml,85000
8777,Edwards,1Fam,5,7,1910,1950,TA,TA,CBlock,Fa,TA,No,Unf,0,Unf,796,796,Gd,Y,796,0,0,0,1,0,2,TA,4,0,0,0,5,2008,WD,Normal,85000
7200,OldTown,1Fam,5,4,1910,2006,TA,TA,BrkTil,TA,TA,No,ALQ,712,Rec,310,1022,TA,N,1022,0,1,0,1,0,2,TA,4,0,1,280,6,2009,WD,Normal,85000
2592,MeadowV,TwnhsE,5,3,1976,1976,TA,TA,CBlock,Gd,TA,No,Rec,361,BLQ,175,536,TA,Y,536,576,0,0,1,1,3,TA,4,0,1,336,4,2010,WD,Normal,85000
1680,BrDale,Twnhs,6,5,1971,1971,TA,TA,CBlock,TA,TA,No,ALQ,387,Unf,96,483,TA,Y,483,504,0,0,1,1,2,TA,4,0,1,264,7,2008,COD,Abnorml,85400
